kernel,dtype,n,stride,misalign,reps,time_ns_med,time_ns_p05,time_ns_p95,gflops,cpe,GiBps,verified,max_rel_err
saxpy,f32,512,1,0,9,301.000000,299.000000,381.000000,3.401993,1.837425,19.010119,1,0.0000000000000e+00
saxpy,f32,512,1,1,9,303.000000,300.000000,385.000000,3.379538,1.849631,18.884640,1,0.0000000000000e+00
saxpy,f32,512,2,0,9,301.000000,300.000000,380.000000,3.401993,1.837391,19.010119,1,0.0000000000000e+00
saxpy,f32,512,2,1,9,303.000000,300.000000,379.000000,3.379538,1.849579,18.884640,1,0.0000000000000e+00
saxpy,f32,512,4,0,9,303.000000,299.000000,374.000000,3.379538,1.849587,18.884640,1,0.0000000000000e+00
saxpy,f32,512,4,1,9,301.000000,300.000000,379.000000,3.401993,1.837373,19.010119,1,0.0000000000000e+00
saxpy,f32,512,8,0,9,303.000000,302.000000,372.000000,3.379538,1.849579,18.884640,1,0.0000000000000e+00
saxpy,f32,512,8,1,9,303.000000,299.000000,380.000000,3.379538,1.849581,18.884640,1,0.0000000000000e+00
saxpy,f32,1024,1,0,9,591.000000,586.000000,675.000000,3.465313,1.803893,19.363946,1,0.0000000000000e+00
saxpy,f32,1024,1,1,9,589.000000,584.000000,669.000000,3.477080,1.797694,19.429697,1,0.0000000000000e+00
saxpy,f32,1024,2,0,9,589.000000,584.000000,671.000000,3.477080,1.797697,19.429697,1,0.0000000000000e+00
saxpy,f32,1024,2,1,9,589.000000,585.000000,676.000000,3.477080,1.798110,19.429697,1,0.0000000000000e+00
saxpy,f32,1024,4,0,9,592.000000,588.000000,655.000000,3.459459,1.807363,19.331236,1,0.0000000000000e+00
saxpy,f32,1024,4,1,9,592.000000,587.000000,673.000000,3.459459,1.807364,19.331236,1,0.0000000000000e+00
saxpy,f32,1024,8,0,9,590.000000,585.000000,671.000000,3.471186,1.801310,19.396766,1,0.0000000000000e+00
saxpy,f32,1024,8,1,9,585.000000,585.000000,668.000000,3.500855,1.786009,19.562550,1,0.0000000000000e+00
saxpy,f32,2048,1,0,9,1169.000000,1158.000000,1244.000000,3.503849,1.784468,19.579285,1,0.0000000000000e+00
saxpy,f32,2048,1,1,9,1168.000000,1165.000000,1248.000000,3.506849,1.782929,19.596048,1,0.0000000000000e+00
saxpy,f32,2048,2,0,9,1165.000000,1162.000000,1255.000000,3.515880,1.778360,19.646510,1,0.0000000000000e+00
