kernel,dtype,n,stride,misalign,reps,time_ns_med,time_ns_p05,time_ns_p95,gflops,cpe,GiBps,verified,max_rel_err
saxpy,f32,512,1,0,9,301.000000,299.000000,382.000000,3.401993,1.837507,19.010119,1,0.0000000000000e+00
saxpy,f32,512,1,1,9,303.000000,301.000000,385.000000,3.379538,1.849558,18.884640,1,0.0000000000000e+00
saxpy,f32,512,2,0,9,302.000000,298.000000,379.000000,3.390728,1.843488,18.947172,1,0.0000000000000e+00
saxpy,f32,512,2,1,9,303.000000,300.000000,382.000000,3.379538,1.849581,18.884640,1,0.0000000000000e+00
saxpy,f32,512,4,0,9,302.000000,298.000000,385.000000,3.390728,1.843716,18.947172,1,0.0000000000000e+00
saxpy,f32,512,4,1,9,498.000000,497.000000,855.000000,2.056225,3.040038,11.490052,1,0.0000000000000e+00
saxpy,f32,512,8,0,9,303.000000,300.000000,374.000000,3.379538,1.849561,18.884640,1,0.0000000000000e+00
saxpy,f32,512,8,1,9,301.000000,300.000000,379.000000,3.401993,1.837349,19.010119,1,0.0000000000000e+00
saxpy,f32,1024,1,0,9,591.000000,589.000000,681.000000,3.465313,1.800645,19.363946,1,0.0000000000000e+00
saxpy,f32,1024,1,1,9,591.000000,586.000000,666.000000,3.465313,1.800654,19.363946,1,0.0000000000000e+00
saxpy,f32,1024,2,0,9,601.000000,587.000000,687.000000,3.407654,1.831079,19.041750,1,0.0000000000000e+00
saxpy,f32,1024,2,1,9,594.000000,590.000000,673.000000,3.447811,1.809817,19.266148,1,0.0000000000000e+00
saxpy,f32,1024,4,0,9,590.000000,587.000000,676.000000,3.471186,1.797593,19.396766,1,0.0000000000000e+00
saxpy,f32,1024,4,1,9,598.000000,588.000000,689.000000,3.424749,1.821925,19.137277,1,0.0000000000000e+00
saxpy,f32,1024,8,0,9,590.000000,587.000000,674.000000,3.471186,1.797564,19.396766,1,0.0000000000000e+00
saxpy,f32,1024,8,1,9,601.000000,586.000000,686.000000,3.407654,1.831150,19.041750,1,0.0000000000000e+00
saxpy,f32,2048,1,0,9,1375.000000,1369.000000,2260.000000,2.978909,2.094692,16.645952,1,0.0000000000000e+00
saxpy,f32,2048,1,1,9,1367.000000,1359.000000,1481.000000,2.996342,2.082462,16.743368,1,0.0000000000000e+00
saxpy,f32,2048,2,0,9,1363.000000,1361.000000,1453.000000,3.005136,2.076337,16.792504,1,0.0000000000000e+00
