kernel,dtype,n,stride,gflops,cpe
saxpy,f32,512,1,3.401993,1.837507
saxpy,f32,512,2,3.390728,1.843488
saxpy,f32,512,4,3.390728,1.843716
saxpy,f32,512,8,3.379538,1.849561
saxpy,f32,1024,1,3.465313,1.800645
saxpy,f32,1024,2,3.407654,1.831079
saxpy,f32,1024,4,3.471186,1.797593
saxpy,f32,1024,8,3.471186,1.797564
saxpy,f32,2048,1,2.978909,2.094692
saxpy,f32,2048,2,3.005136,2.076337
saxpy,f32,2048,4,2.994152,2.08395
saxpy,f32,2048,8,3.497865,1.783856
saxpy,f32,4096,1,3.521926,1.771697
saxpy,f32,4096,2,3.021763,2.0651
saxpy,f32,4096,4,3.524957,1.770149
saxpy,f32,4096,8,3.526474,1.769379
saxpy,f32,8192,1,3.54019,1.762522
saxpy,f32,8192,2,3.535606,1.764801
saxpy,f32,8192,4,3.518145,1.773563
saxpy,f32,8192,8,3.534844,1.765216
saxpy,f32,65536,1,3.547472,1.758918
saxpy,f32,65536,2,3.422156,1.82331
saxpy,f32,65536,4,3.543636,1.760811
saxpy,f32,65536,8,3.551894,1.75671
saxpy,f32,1048576,1,3.325376,1.876402
saxpy,f32,1048576,2,3.417956,1.825589
saxpy,f32,1048576,4,2.773552,2.24972
saxpy,f32,1048576,8,2.80768,2.222349
saxpy,f32,8388608,1,2.232021,2.795501
saxpy,f32,8388608,2,1.835078,3.405107
saxpy,f32,8388608,4,1.457529,4.287152
saxpy,f32,8388608,8,1.255577,4.976702
saxpy,f32,33554432,1,2.276274,2.745123
saxpy,f32,33554432,2,1.90805,3.276302
saxpy,f32,33554432,4,1.095664,5.705623
saxpy,f32,33554432,8,0.854602,7.302323
saxpy,f32,67108864,1,2.329818,2.678483
saxpy,f32,67108864,2,1.736473,3.599535
saxpy,f32,67108864,4,1.356059,4.61107
saxpy,f32,67108864,8,0.853691,7.310902
saxpy,f64,512,1,3.390728,1.84064
saxpy,f64,512,2,3.401993,1.834546
saxpy,f64,512,4,3.401993,1.834552
saxpy,f64,512,8,3.401993,1.83455
saxpy,f64,1024,1,2.188034,2.8525
saxpy,f64,1024,2,2.955267,2.111858
saxpy,f64,1024,4,2.955267,2.11195
saxpy,f64,1024,8,2.951009,2.114899
saxpy,f64,2048,1,2.795904,2.232291
saxpy,f64,2048,2,2.90085,2.151483
saxpy,f64,2048,4,3.488927,1.788852
saxpy,f64,2048,8,2.936201,2.125568
saxpy,f64,4096,1,3.213809,1.945929
saxpy,f64,4096,2,3.436242,1.819965
saxpy,f64,4096,4,3.009552,2.077993
saxpy,f64,4096,8,3.481513,1.796293
saxpy,f64,8192,1,3.531034,1.771091
saxpy,f64,8192,2,3.54019,1.766504
saxpy,f64,8192,4,3.526474,1.773433
saxpy,f64,8192,8,3.338904,1.873008
saxpy,f64,65536,1,3.55199,1.760675
saxpy,f64,65536,2,3.347003,1.868507
saxpy,f64,65536,4,3.319203,1.884126
saxpy,f64,65536,8,3.321642,1.88276
saxpy,f64,1048576,1,1.630538,3.835558
saxpy,f64,1048576,2,2.747096,2.27769
saxpy,f64,1048576,4,2.365285,2.645369
saxpy,f64,1048576,8,2.013455,3.107629
saxpy,f64,8388608,1,1.366629,4.578453
saxpy,f64,8388608,2,0.673564,9.289451
saxpy,f64,8388608,4,0.73437,8.520235
saxpy,f64,8388608,8,0.481789,12.956164
saxpy,f64,33554432,1,1.335223,4.674965
saxpy,f64,33554432,2,0.846574,7.373154
saxpy,f64,33554432,4,0.688828,9.083365
saxpy,f64,33554432,8,0.406515,15.397462
saxpy,f64,67108864,1,1.062797,5.863097
saxpy,f64,67108864,2,1.039478,6.074412
saxpy,f64,67108864,4,0.698942,8.925006
saxpy,f64,67108864,8,0.451005,13.83992
dot,f32,512,1,3.131498,1.994238
dot,f32,512,2,3.121951,1.997267
dot,f32,512,4,3.131498,1.990904
dot,f32,512,8,3.131498,1.990871
dot,f32,1024,1,2.760108,2.25881
dot,f32,1024,2,2.752688,2.264942
dot,f32,1024,4,3.235387,1.926935
dot,f32,1024,8,3.18507,1.957393
dot,f32,2048,1,2.792093,2.232923
dot,f32,2048,2,2.799727,2.226786
dot,f32,2048,4,2.799727,2.226762
dot,f32,2048,8,2.790191,2.234397
dot,f32,4096,1,2.735225,2.279266
dot,f32,4096,2,3.297907,1.890399
dot,f32,4096,4,2.808365,2.219906
dot,f32,4096,8,2.72431,2.239585
dot,f32,8192,1,3.239866,1.883224
dot,f32,8192,2,3.237945,1.884353
dot,f32,8192,4,3.237945,1.884338
dot,f32,8192,8,3.203128,1.904845
dot,f32,65536,1,3.235786,1.885583
dot,f32,65536,2,3.249504,1.877704
dot,f32,65536,4,3.027347,2.015419
dot,f32,65536,8,2.977623,2.049063
dot,f32,1048576,1,2.950187,2.068183
dot,f32,1048576,2,2.172235,2.808779
dot,f32,1048576,4,3.092014,2.018712
dot,f32,1048576,8,2.687502,2.322607
dot,f32,8388608,1,2.395592,2.611006
dot,f32,8388608,2,2.144116,2.917248
dot,f32,8388608,4,1.567009,3.991673
dot,f32,8388608,8,1.254506,4.985915
dot,f32,33554432,1,2.898155,2.160318
dot,f32,33554432,2,2.645409,2.432131
dot,f32,33554432,4,1.541004,4.047598
