kernel,dtype,n,stride,gflops,cpe
dot,f32,512,1,3.131498,1.994238
dot,f32,512,2,3.121951,1.997267
dot,f32,512,4,3.131498,1.990904
dot,f32,512,8,3.131498,1.990871
dot,f32,65536,1,3.235786,1.885583
dot,f32,65536,2,3.249504,1.877704
dot,f32,65536,4,3.027347,2.015419
dot,f32,65536,8,2.977623,2.049063
dot,f32,67108865,1,2.651602,2.510239
dot,f32,67108865,2,2.160996,2.886713
dot,f32,67108865,4,1.538378,3.882901
dot,f32,67108865,8,0.912208,6.582661
dot,f64,512,1,3.180124,1.87544
dot,f64,512,2,3.180124,1.875453
dot,f64,512,4,3.190031,1.869677
dot,f64,512,8,3.160494,1.887077
dot,f64,65536,1,3.602661,1.755084
dot,f64,65536,2,3.594855,1.758785
dot,f64,65536,4,3.565615,1.773184
dot,f64,65536,8,3.364185,1.879358
dot,f64,67108866,1,1.42212,4.394343
dot,f64,67108866,2,1.271296,4.917018
dot,f64,67108866,4,0.82753,7.554037
dot,f64,67108866,8,0.48467,12.895688
mul,f32,512,1,1.700997,1.862194
mul,f32,512,2,1.712375,1.849765
mul,f32,512,4,1.590062,1.99218
mul,f32,512,8,1.684211,1.880716
mul,f32,65536,1,1.693874,1.840994
mul,f32,65536,2,1.76319,1.768656
mul,f32,65536,4,1.81792,1.715394
mul,f32,65536,8,1.74968,1.782286
mul,f32,67108865,1,1.003051,3.116637
mul,f32,67108865,2,0.813232,3.843128
mul,f32,67108865,4,0.416276,7.510236
mul,f32,67108865,8,0.345348,9.052413
mul,f64,512,1,1.646302,1.892702
mul,f64,512,2,1.641026,1.898717
mul,f64,512,4,1.605016,1.870801
mul,f64,512,8,1.595016,1.882523
mul,f64,65536,1,1.793051,1.770414
mul,f64,65536,2,1.685033,1.883865
mul,f64,65536,4,1.65024,1.923698
mul,f64,65536,8,1.600508,1.983431
mul,f64,67108866,1,0.444709,7.027992
mul,f64,67108866,2,0.323921,9.65146
mul,f64,67108866,4,0.287147,10.887037
mul,f64,67108866,8,0.179708,17.396542
saxpy,f32,512,1,3.401993,1.837507
saxpy,f32,512,2,3.390728,1.843488
saxpy,f32,512,4,3.390728,1.843716
saxpy,f32,512,8,3.379538,1.849561
saxpy,f32,65536,1,3.547472,1.758918
saxpy,f32,65536,2,3.422156,1.82331
saxpy,f32,65536,4,3.543636,1.760811
saxpy,f32,65536,8,3.551894,1.75671
saxpy,f32,67108865,1,2.410866,2.589065
saxpy,f32,67108865,2,1.926027,3.250797
saxpy,f32,67108865,4,1.325223,4.709287
saxpy,f32,67108865,8,0.823648,7.578358
saxpy,f64,512,1,3.390728,1.84064
saxpy,f64,512,2,3.401993,1.834546
saxpy,f64,512,4,3.401993,1.834552
saxpy,f64,512,8,3.401993,1.83455
saxpy,f64,65536,1,3.55199,1.760675
saxpy,f64,65536,2,3.347003,1.868507
saxpy,f64,65536,4,3.319203,1.884126
saxpy,f64,65536,8,3.321642,1.88276
saxpy,f64,67108866,1,1.322019,4.978345
saxpy,f64,67108866,2,1.028296,6.07561
saxpy,f64,67108866,4,0.661663,9.433662
saxpy,f64,67108866,8,0.419076,14.902558
stencil,f32,65536,1,67.910881,0.229767
stencil,f32,67108865,1,6.914881,2.25988
stencil,f64,65536,1,24.324104,0.646666
stencil,f64,67108866,1,3.488764,4.48031
