kernel,dtype,n,stride,gflops,cpe,gflops_rel
dot,f32,512,1,3.131498,1.994238,1.0
dot,f32,512,2,3.121951,1.997267,0.9969512993461915
dot,f32,512,4,3.131498,1.990904,1.0
dot,f32,512,8,3.131498,1.990871,1.0
dot,f32,513,1,2.965318,1.987517,1.0
dot,f32,513,2,2.965318,1.987471,1.0
dot,f32,513,4,2.948276,1.998984,0.9942528929443655
dot,f32,513,8,2.948276,1.998978,0.9942528929443655
dot,f32,1024,1,2.760108,2.25881,1.0
dot,f32,1024,2,2.752688,2.264942,0.99731169939727
dot,f32,1024,4,3.235387,1.926935,1.1721957981354354
dot,f32,1024,8,3.18507,1.957393,1.1539657143850894
dot,f32,1025,1,2.94964,1.998186,1.0
dot,f32,1025,2,3.046062,1.934871,1.0326894129453086
dot,f32,1025,4,2.766532,2.256313,0.9379219158948211
dot,f32,1025,8,3.228346,1.933464,1.0944881409256724
dot,f32,2048,1,2.792093,2.232923,1.0
dot,f32,2048,2,2.799727,2.226786,1.0027341496146438
dot,f32,2048,4,2.799727,2.226762,1.0027341496146438
dot,f32,2048,8,2.790191,2.234397,0.9993187905990238
dot,f32,2049,1,2.801094,2.2284,1.0
dot,f32,2049,2,2.795362,2.232949,0.9979536566784263
dot,f32,2049,4,2.79727,2.231429,0.9986348191099621
dot,f32,2049,8,2.801094,2.228622,1.0
dot,f32,4096,1,2.735225,2.279266,1.0
dot,f32,4096,2,3.297907,1.890399,1.205716897147401
dot,f32,4096,4,2.808365,2.219906,1.026740030527653
dot,f32,4096,8,2.72431,2.239585,0.9960094690564762
dot,f32,4097,1,3.297384,1.893046,1.0
dot,f32,4097,2,2.11349,2.953535,0.6409596213240557
dot,f32,4097,4,2.997074,2.217085,0.908924771879769
dot,f32,4097,8,3.473506,1.913005,1.0534126446904577
dot,f32,8192,1,3.239866,1.883224,1.0
dot,f32,8192,2,3.237945,1.884353,0.999407074243194
dot,f32,8192,4,3.237945,1.884338,0.999407074243194
dot,f32,8192,8,3.203128,1.904845,0.9886606421376686
dot,f32,8193,1,3.01324,2.205219,1.0
dot,f32,8193,2,3.526146,1.884392,1.1702174403631969
dot,f32,8193,4,3.523871,1.885617,1.169462439102096
dot,f32,8193,8,3.507277,1.894589,1.1639554101233225
dot,f32,65536,1,3.235786,1.885583,1.0
dot,f32,65536,2,3.249504,1.877704,1.004239464538137
dot,f32,65536,4,3.027347,2.015419,0.9355831936969873
dot,f32,65536,8,2.977623,2.049063,0.9202162936609528
dot,f32,65537,1,3.194901,2.079867,1.0
dot,f32,65537,2,3.533182,1.880807,1.1058815280974277
dot,f32,65537,4,3.535184,1.879577,1.1065081515827877
dot,f32,65537,8,3.086273,2.022487,0.9659995724437157
dot,f32,1048576,1,2.950187,2.068183,1.0
dot,f32,1048576,2,2.172235,2.808779,0.7363041732608815
dot,f32,1048576,4,3.092014,2.018712,1.048073901756058
dot,f32,1048576,8,2.687502,2.322607,0.910959881526154
dot,f32,1048577,1,2.986093,2.090343,1.0
dot,f32,1048577,2,2.959181,2.109399,0.9909875546407966
dot,f32,1048577,4,2.832817,2.203474,0.9486700514685913
dot,f32,1048577,8,3.120881,2.000328,1.0451385807474851
dot,f32,8388608,1,2.395592,2.611006,1.0
dot,f32,8388608,2,2.144116,2.917248,0.8950255302238443
dot,f32,8388608,4,1.567009,3.991673,0.6541218204101533
dot,f32,8388608,8,1.254506,4.985915,0.5236726454254313
dot,f32,8388609,1,2.475145,2.522206,1.0
dot,f32,8388609,2,1.908049,3.271808,0.7708837260039312
dot,f32,8388609,4,1.474449,4.233978,0.5957020699797385
dot,f32,8388609,8,1.100802,5.671107,0.4447424292314188
dot,f32,33554432,1,2.898155,2.160318,1.0
dot,f32,33554432,2,2.645409,2.432131,0.9127907237535604
dot,f32,33554432,4,1.541004,4.047598,0.5317189729327797
dot,f32,33554432,8,0.874239,7.134857,0.3016536382629638
dot,f32,33554433,1,2.82035,2.179806,1.0
dot,f32,33554433,2,2.090516,2.940808,0.7412257343946673
dot,f32,33554433,4,1.410486,4.172354,0.5001102700019501
dot,f32,33554433,8,0.981776,6.357739,0.3481043132944493
dot,f32,67108864,1,2.589164,2.358708,1.0
dot,f32,67108864,2,1.890258,3.322071,0.7300649939517158
dot,f32,67108864,4,1.531907,4.227139,0.5916608604167214
dot,f32,67108864,8,0.928526,6.715137,0.35862000244094233
dot,f32,67108865,1,2.651602,2.510239,1.0
dot,f32,67108865,2,2.160996,2.886713,0.8149775117080165
dot,f32,67108865,4,1.538378,3.882901,0.5801692712556409
dot,f32,67108865,8,0.912208,6.582661,0.34402146325127225
dot,f64,512,1,3.180124,1.87544,1.0
dot,f64,512,2,3.180124,1.875453,1.0
dot,f64,512,4,3.190031,1.869677,1.0031152873284186
