kernel,dtype,stride,delta_gflops_%,delta_cpe_%,delta_gibps_%,samples_exact,samples_tail
dot,f32,1,1.594275772259679,-0.10453759614930114,1.5942703897876997,10,10
dot,f32,2,-1.358643106759272,1.6741309417005468,-1.3586399562656948,10,10
dot,f32,4,-1.4465246480654836,1.8722394452806101,-1.446518631394944,10,10
dot,f32,8,4.536744113106805,-3.369419890308334,4.5367457662889965,10,10
dot,f64,1,2.3405860500773645,-0.030623732117485147,2.3405827350878816,10,10
dot,f64,2,9.24954077832638,-6.086781500049721,9.2495428347376,10,10
dot,f64,4,6.296739257374928,-5.165190796848751,6.29674020620814,10,10
dot,f64,8,1.85580660146758,-0.35586063374855037,1.8558077598250122,10,10
mul,f32,1,-4.005376479452583,3.0371059086717667,-4.005370242751272,10,10
mul,f32,2,0.48104162959461405,-1.6340504186072358,0.48104235236019477,10,10
mul,f32,4,-7.977809212121533,8.232180598078976,-7.97783151172119,10,10
mul,f32,8,0.9474688809683718,-1.3193308965183004,0.9474769267110661,10,10
mul,f64,1,12.55215815505155,-11.000864734880068,12.552148799481365,10,10
mul,f64,2,-0.2794549703556304,-0.27401393173202004,-0.2794232441521993,10,10
mul,f64,4,-4.211788420614515,4.204594441367671,-4.211767073735584,10,10
mul,f64,8,5.397846978985732,-5.067705258880107,5.397785825014023,10,10
saxpy,f32,1,-2.9690524588444456,3.609562450340187,-2.9690573324388625,10,10
saxpy,f32,2,-1.2983206319928442,1.6374029966189418,-1.2983176149626297,10,10
saxpy,f32,4,-3.4496153093530713,3.9914593001854737,-3.4496178167441327,10,10
saxpy,f32,8,-7.533271152087684,8.801838181392396,-7.533272866813634,10,10
saxpy,f64,1,11.43230508089992,-8.998414162682778,11.432296136814312,10,10
saxpy,f64,2,5.859021571191625,-5.342134449074409,5.859014464710177,10,10
saxpy,f64,4,-6.319359844210881,6.536438084013962,-6.319346608937981,10,10
saxpy,f64,8,-5.4880504858947905,5.31061553679224,-5.48808561993448,10,10
stencil,f32,1,-18.311470473201652,22.466411098557604,-18.311470459143365,9,9
stencil,f64,1,10.140505448162784,-9.929510296191356,10.140506956092832,9,9
ALL,-,0,0.309050120173575,0.48829002635430613,0.30904777592782035,258,258
