kernel,dtype,stride,tail_flag,samples,geo_gflops,geo_cpe,geo_gibps
dot,f32,1,0,12,5.862539084226008,1.0787259647505378,21.839659393085576
dot,f32,1,1,2,7.122317303531837,0.8948023519085095,26.532699886349747
dot,f32,2,0,12,9.818592499195622,0.6488715554517095,36.577107463153936
dot,f32,2,1,2,13.670312391948801,0.45193334143875685,50.92588125654382
dot,f32,4,0,12,15.505969044045775,0.4044446640591416,57.7642366401572
dot,f32,4,1,2,18.739995529176202,0.3296729432756046,69.81192272035021
dot,f32,8,0,12,22.707431252550588,0.27854081117769025,84.59177370463848
dot,f32,8,1,2,29.89217726993971,0.2138318466856609,111.35703873344795
dot,f64,1,0,10,5.1269787967998655,1.2657405139027547,38.1989700953274
dot,f64,1,1,4,8.101051790255502,0.7913563490692515,60.357539143420254
dot,f64,2,0,10,7.0068641694099005,0.9256167745367023,52.205209053749265
dot,f64,2,1,4,11.838443867251698,0.5441288545493232,88.20328036779104
dot,f64,4,0,10,10.654366623770347,0.6125779470498899,79.38121724030837
dot,f64,4,1,4,18.206394806316325,0.3538130041933659,135.6482136319556
dot,f64,8,0,10,14.218031989016836,0.452427527136212,105.93259095935332
dot,f64,8,1,4,27.19934820396541,0.23683110878345046,202.65093571225958
mul,f32,1,0,12,5.92124673580738,0.5445515081872273,66.17508491902946
mul,f32,1,1,2,8.435342575516716,0.3847330891800184,94.27230464764615
mul,f32,2,0,12,4.621791715301461,0.6941902075752521,51.652547735073135
mul,f32,2,1,2,5.76552352295262,0.5628894403664009,64.43474769343628
mul,f32,4,0,12,6.895333384503927,0.4668215863204823,77.06135283304594
mul,f32,4,1,2,8.918112294681201,0.36390444148842155,99.667673276277
mul,f32,8,0,12,8.145326309574369,0.39500086631596665,91.0311142625115
mul,f32,8,1,2,9.65801516641178,0.3337459166491779,107.93673171936975
mul,f64,1,0,10,2.689350274656013,1.1943302994314515,60.1116640521218
mul,f64,1,1,4,3.6156299520833617,0.8702913384874883,80.81562095226768
mul,f64,2,0,10,2.9429313186657047,1.0887518752036753,65.77963225443088
mul,f64,2,1,4,4.8762546304103,0.6534924363577862,108.99277827858201
mul,f64,4,0,10,3.2340795991715447,0.9840060468511813,72.28731723676836
mul,f64,4,1,4,6.592280694844354,0.4833846806095444,147.34895634843764
mul,f64,8,0,10,3.683642642806114,0.8750054999997496,82.33582848934522
mul,f64,8,1,4,7.508551498213265,0.42439543035674065,167.82920252370647
saxpy,f32,1,0,12,15.292172198441037,0.4158016038422221,85.4516725493202
saxpy,f32,1,1,2,24.6534526390085,0.2650761725429127,137.76190080327925
saxpy,f32,2,0,12,10.406484370993342,0.6098919744826389,58.150761970408354
saxpy,f32,2,1,2,16.334047807812734,0.40008714327631173,91.2736047967818
saxpy,f32,4,0,12,15.358769219925444,0.41375220787861194,85.82381064786499
saxpy,f32,4,1,2,23.23970648669664,0.28120136188503786,129.86197808273837
saxpy,f32,8,0,12,21.94556091358508,0.29167496260380793,122.63037988262806
saxpy,f32,8,1,2,21.388393354509223,0.3055429309180626,119.51696020760645
saxpy,f64,1,0,10,6.979181306712845,0.9000690105139038,77.99842788973393
saxpy,f64,1,1,4,13.115113047731212,0.48837969795005476,146.57280970976714
saxpy,f64,2,0,10,7.184567507340329,0.8854806090442561,80.29379680410239
saxpy,f64,2,1,4,13.70548097109753,0.46734399193679815,153.17068608607786
saxpy,f64,4,0,10,9.069894482408097,0.707558716036376,101.36397333986496
saxpy,f64,4,1,4,16.53767352745354,0.37897445129491264,184.82290401555227
saxpy,f64,8,0,10,8.425788896383763,0.7616421471646933,94.16552473596349
saxpy,f64,8,1,4,19.10356497978913,0.32807202689941567,213.49897849899835
stencil,f32,1,0,10,28.16788256592463,0.5679116830622686,41.97341556786016
stencil,f32,1,1,2,46.68154499835925,0.3374199472630508,69.56092195424442
stencil,f64,1,0,9,12.027185227745386,1.316694594154367,35.843805199006056
stencil,f64,1,1,3,21.51831116875659,0.7076600992679126,64.12956390873215
