level,bytes,mode,rw,cycles_per_access
L1,24576,rand,read,8.1301
L1,24576,rand,read,8.0597
L1,24576,rand,read,8.0962
L1,24576,rand,write,462.3493
L1,24576,rand,write,449.5674
L1,24576,rand,write,429.0344
L2,1048576,rand,read,11.0297
L2,1048576,rand,read,11.1342
L2,1048576,rand,read,11.0215
L2,1048576,rand,write,486.9129
L2,1048576,rand,write,417.1676
L2,1048576,rand,write,412.0647
L3,18874368,rand,read,44.9084
L3,18874368,rand,read,45.3979
L3,18874368,rand,read,44.5096
L3,18874368,rand,write,365.8917
L3,18874368,rand,write,365.4341
L3,18874368,rand,write,358.8777
DRAM,574619648,rand,read,248.4571
DRAM,574619648,rand,read,241.7193
DRAM,574619648,rand,read,63.5230
DRAM,574619648,rand,write,387.1478
DRAM,574619648,rand,write,388.4070
DRAM,574619648,rand,write,384.4891
