stride,rep,secs,cache_misses,cache_references,LLC_load_misses,L1_dcache_load_misses
1,1,0.051342,14850129,18915826,6371953,5635467
1,2,0.048520,17538606,30203656,6214104,5555683
1,3,0.049256,17850340,25761229,6215891,5501870
4,1,0.196678,48479567,69449088,22326144,11554959
4,2,0.202353,42101233,149588964,21963429,11711246
4,3,0.203713,48456515,65649990,20832719,11583154
8,1,0.406758,95375749,148938420,47724910,37980300
8,2,0.433403,89111664,143328050,49149487,37690867
8,3,0.424616,91031239,188165033,48960279,37479958
16,1,0.779192,169274963,216856253,95593578,110910880
16,2,0.775139,179995014,277115291,97129118,111514055
16,3,0.839565,149456466,186840936,96849679,110381115
32,1,1.188685,209343726,275504594,82875062,112956611
32,2,1.110948,224219976,347086034,80454394,114591313
32,3,1.063415,218569873,292953329,78630704,112366075
64,1,1.223488,260808377,364948269,88100685,115177593
64,2,1.170006,216094096,427813843,85987851,114277978
64,3,1.144904,260478826,366890717,82520515,110040082
128,1,1.024402,222607639,423213587,64452836,98211830
128,2,0.919587,185104102,290805552,66974596,110493351
128,3,0.910885,158919023,419062610,66900917,111220492
